1906
-0.455458, 1, 1, 334, 500
-0.521432, 1, 257, 334, 500
-0.55251, 65, 1, 320, 500
-0.614923, 1, 129, 334, 384
-0.65547, 1, 1, 334, 256
-0.715161, 1, 257, 256, 500
-0.762237, 65, 97, 320, 352
-0.835625, 65, 1, 320, 256
-0.866041, 177, 1, 304, 500
-0.875627, 177, 1, 304, 256
-0.886581, 17, 225, 144, 480
-0.889058, 97, 97, 224, 352
-0.889183, 1, 257, 334, 384
-0.889191, 129, 1, 256, 500
-0.89102, 1, 1, 128, 500
-0.895014, 65, 225, 192, 480
-0.900819, 161, 225, 288, 480
-0.909855, 209, 129, 334, 384
-0.913248, 113, 225, 240, 480
-0.915759, 49, 1, 176, 500
-0.921785, 1, 17, 334, 144
-0.9226, 1, 257, 256, 384
-0.929188, 17, 129, 144, 384
-0.93131, 1, 65, 334, 192
-0.931665, 145, 129, 272, 384
-0.934143, 1, 193, 334, 320
-0.939337, 17, 241, 144, 368
-0.942509, 177, 1, 304, 128
-0.942565, 129, 1, 256, 256
-0.945159, 65, 145, 320, 272
-0.945198, 65, 17, 320, 144
-0.946018, 1, 145, 334, 272
-0.949049, 65, 209, 320, 336
-0.950546, 209, 225, 334, 480
-0.9518, 1, 65, 256, 192
-0.952399, 1, 241, 64, 368
-0.95364, 65, 241, 192, 368
-0.955344, 1, 305, 256, 432
-0.955884, 1, 305, 334, 432
-0.956291, 137, 257, 200, 384
-0.957323, 161, 65, 288, 192
-0.957741, 17, 289, 144, 416
-0.958344, 33, 33, 160, 288
-0.95848, 185, 17, 248, 144
-0.958501, 161, 241, 288, 368
-0.958967, 17, 193, 144, 320
-0.960216, 89, 225, 152, 352
-0.960336, 25, 273, 88, 400
-0.960443, 81, 289, 208, 416
-0.960606, 57, 241, 120, 368
-0.960821, 209, 273, 334, 400
-0.96208, 185, 65, 248, 192
-0.962413, 97, 273, 160, 400
-0.962749, 225, 17, 288, 144
-0.963564, 97, 97, 224, 224
-0.965124, 209, 49, 334, 176
-0.965229, 1, 289, 64, 416
-0.965245, 265, 1, 328, 128
-0.965512, 89, 273, 152, 336
-0.965783, 97, 33, 224, 160
-0.966001, 25, 193, 88, 320
-0.966612, 177, 209, 240, 336
-0.966702, 41, 241, 104, 304
-0.967176, 153, 33, 216, 160
-0.96733, 249, 49, 312, 176
-0.967489, 65, 257, 128, 320
-0.968051, 81, 193, 208, 320
-0.968685, 17, 273, 80, 336
-0.968743, 209, 97, 334, 224
-0.969039, 185, 73, 248, 136
-0.969102, 1, 305, 64, 368
-0.969182, 49, 193, 112, 320
-0.96922, 169, 273, 232, 400
-0.969297, 137, 257, 200, 320
-0.96935, 129, 193, 256, 320
-0.969664, 89, 249, 152, 312
-0.969717, 73, 217, 136, 280
-0.970433, 41, 209, 104, 272
-0.97064, 17, 249, 144, 312
-0.970702, 273, 81, 334, 208
-0.970809, 209, 225, 334, 352
-0.97136, 129, 289, 256, 416
-0.971473, 113, 241, 240, 368
-0.971559, 1, 201, 64, 264
-0.971675, 113, 273, 176, 336
-0.972583, 81, 145, 208, 272
-0.97267, 17, 273, 144, 336
-0.972704, 241, 113, 304, 240
-0.973502, 113, 225, 176, 352
-0.973532, 1, 33, 128, 160
-0.973572, 49, 81, 176, 208
-0.973706, 265, 57, 328, 120
-0.974083, 1, 145, 128, 272
-0.974183, 153, 209, 216, 336
-0.974268, 145, 113, 272, 240
-0.974328, 177, 161, 304, 288
-0.97438, 209, 1, 272, 64
-0.974399, 1, 193, 64, 320
-0.974519, 257, 305, 320, 432
-0.974572, 177, 265, 240, 328
-0.9748, 65, 273, 192, 336
-0.974839, 1, 33, 64, 160
-0.975544, 81, 1, 208, 256
-0.975558, 273, 161, 334, 288
-0.975591, 209, 81, 272, 208
-0.975601, 185, 1, 248, 64
-0.975727, 217, 25, 280, 88
-0.976097, 145, 289, 208, 352
-0.976153, 257, 209, 320, 272
-0.976458, 193, 25, 256, 88
-0.97664, 29, 273, 60, 336
-0.976841, 161, 129, 224, 256
-0.976856, 25, 305, 88, 368
-0.97703, 1, 81, 128, 208
-0.977095, 185, 49, 248, 112
-0.977291, 89, 273, 120, 336
-0.977409, 185, 97, 248, 160
-0.977449, 177, 9, 304, 72
-0.977476, 73, 177, 136, 304
-0.977672, 273, 177, 334, 240
-0.977842, 97, 225, 160, 288
-0.977879, 81, 249, 208, 312
-0.977918, 177, 33, 304, 96
-0.977995, 209, 81, 272, 144
-0.978096, 1, 353, 256, 480
-0.978353, 201, 161, 264, 224
-0.978378, 121, 273, 152, 336
-0.978388, 233, 217, 296, 280
-0.978595, 21, 241, 52, 368
-0.978836, 209, 321, 334, 448
-0.979279, 185, 161, 248, 288
